"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Edat_any_a_any","Nombre"
2020,10,"Sant Martí",73,"la Verneda i la Pau","Dones","3 anys",112
2020,1,"Ciutat Vella",1,"el Raval","Dones","4 anys",187
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","4 anys",48
2020,1,"Ciutat Vella",3,"la Barceloneta","Dones","4 anys",46
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","4 anys",66
2020,2,"Eixample",5,"el Fort Pienc","Dones","4 anys",119
2020,2,"Eixample",6,"la Sagrada Família","Dones","4 anys",192
2020,2,"Eixample",7,"la Dreta de l'Eixample","Dones","4 anys",153
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","4 anys",138
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","4 anys",218
2020,2,"Eixample",10,"Sant Antoni","Dones","4 anys",121
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","4 anys",147
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","4 anys",5
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","4 anys",138
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","4 anys",27
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","4 anys",64
2020,3,"Sants-Montjuïc",16,"la Bordeta","Dones","4 anys",87
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Dones","4 anys",100
2020,3,"Sants-Montjuïc",18,"Sants","Dones","4 anys",188
2020,4,"Les Corts",19,"les Corts","Dones","4 anys",189
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones","4 anys",118
2020,4,"Les Corts",21,"Pedralbes","Dones","4 anys",60
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones","4 anys",18
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones","4 anys",150
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones","4 anys",89
